Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Zimmer,Schlafzimmer,Badezimmer,Personenaufzug,Einbauküche,Baujahr,Modernisierung/ Sanierung,Objektzustand,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Energieverbrauchskennwert,Anbieter,Adreese
"Erstbezug: helle 2 Zimmer Wohnung mit Einbauküche und Südbalkon, Blick auf Frankfurter Top",https://www.immobilienscout24.de/expose/115185292,1.150 €,175 €,in Nebenkosten enthalten,1.325 €,3450,3 von 5,65 m²,2,,1,True,True,2019,zuletzt 2019,Erstbezug,,,,,,,"Erich-Nehlhans-Str. 21, 10247 Berlin, Friedrichshain (Friedrichshain)"
Sanierte Altbau-Whg. im Gräfe Kiez -möbliert -WG geeignet. Beautiful Renovated Property - Furnished,https://www.immobilienscout24.de/expose/115185769,1.575 €,125 €,keine Angabe,1.700 € (zzgl. Heizkosten),3 MM,4 von 4,84 m²,3,,,,,1890,,Saniert,Zentralheizung,Gas,liegt zur Besichtigung vor,,,German Property Centre,"Böckhstrasse 32, 10967 Berlin, Kreuzberg (Kreuzberg)"
"WBS erforderlich! Neu saniert, mit Balkon, tollem Grundriss und EBK - nahe Schäfersee!",https://www.immobilienscout24.de/expose/115184263,"541,99 €","189,76 €","91,51 €","823,26 €",3 Nettokaltmieten,,"73,44 m²",3,2,1,,True,1976,zuletzt 2020,Vollständig renoviert,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,145 kWh/(m²*a),"habitare Immobilien IVD, Immobilienmanagement & Standortberatung, Inhaber: Christian Kurtz Moselstraße 1-2 12159 Berlin","13409 Berlin, Reinickendorf (Reinickendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Für hohe Ansprüche in Qualität und Ausstattung,https://www.immobilienscout24.de/expose/115187671,1.592 €,"149,25 €",89 €,"1.830,25 €",4700,5 von 6,"99,5 m²",3,2,2,True,True,2014,,Neuwertig,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,ALEPA Real Estate GmbH Tauentzienstraße 6 10789 Berlin,"Boyenstraße 36, 10115 Berlin, Mitte (Mitte)"
Ideal für Singles - klein aber fein und lichtdurchflutet,https://www.immobilienscout24.de/expose/115187701,"483,48 €","124,50 €",inkl. 0 €,"483,48 €","1450,44",6 von 17,32 m²,1,,,True,True,1968,,,,Fernwärme,liegt vor,Verbrauchsausweis,160 kWh/(m²*a),Hausverwaltung Optima GmbH,"Stresemannstraße 74, 10963 Berlin, Kreuzberg (Kreuzberg)"
Unikat am Botanischen Garten: Dach-Maisonette mit Fahrstuhl,https://www.immobilienscout24.de/expose/115187814,2.290 €,260 €,nicht in Nebenkosten enthalten,2.550 € (zzgl. Heizkosten),6870 EUR,5 von 5,"181,22 m²",4,2,2,True,True,2011,zuletzt 2012,Neuwertig,Etagenheizung,,liegt vor,Verbrauchsausweis,"102,6 kWh/(m²*a)",Dr. Hintze & Co. OHG Hohenzollernstr. 1 14163 Berlin,"Tulpenstraße 4, 12203 Berlin, Lichterfelde (Steglitz)"
Klein aber fein und die Erstausstattung inkl.,https://www.immobilienscout24.de/expose/115188296,"551,25 €",125 €,in Nebenkosten enthalten,"676,25 €","1653,75",17 von 17,"31,5 m²",1,,,True,,1968,,,,Fernwärme,liegt vor,Verbrauchsausweis,160 kWh/(m²*a),Hausverwaltung Optima GmbH,"Stresemannstraße 76, 10963 Berlin, Kreuzberg (Kreuzberg)"
Hoch hinaus mit fantastischem Ausblick,https://www.immobilienscout24.de/expose/115188605,650 €,147 €,in Nebenkosten enthalten,797 €,"1950,00",17 von 17,"37,3 m²",1,,,True,,1968,,,,Fernwärme,liegt vor,Verbrauchsausweis,160 kWh/(m²*a),Hausverwaltung Optima GmbH,"Stresemannstraße 76, 10963 Berlin, Kreuzberg (Kreuzberg)"
2-Zimmer-Maisonettewohnung in Adlershof!!,https://www.immobilienscout24.de/expose/115188632,849 €,230 €,in Nebenkosten enthalten,1.079 €,2547,,"67,97 m²",2,1,1,True,True,2015,,Gepflegt,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,Living in Berlin e.K. Hönower Straße 72 12623 Berlin,"Gross- Berliner- Damm 132-134, 12489 Berlin, Adlershof (Treptow)"
SONNE - WASSER - NEUBAU - ERSTBEZUG - Luxuriöse 2-Zimmerwohnung direkt an der Spree,https://www.immobilienscout24.de/expose/115189250,1.100 €,150 €,50 €,1.300 €,3 Nettokaltmieten,3 von 6,"52,97 m²",2,1,1,True,True,2019,zuletzt 2019,Erstbezug,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,Markgrafen Quartier Hausverwaltung GmbH,"10587 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
DACHGESCHOSSNEUBAU - ERSTBEZUG - bezugsfertig ab Februar,https://www.immobilienscout24.de/expose/115189396,1.599 €,120 €,80 €,1.799 €,3-Netto-Kaltmieten,5 von 5,90 m²,4,3,1,,True,1902,zuletzt 2020,Erstbezug,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,114 kWh/(m²*a),Markgrafen Quartier Hausverwaltung GmbH,"10249 Berlin, Friedrichshain (Friedrichshain) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Erstbezug! Gemütliche 3 Zimmerwohnung mit Terrasse!,https://www.immobilienscout24.de/expose/115138642,1.480 €,250 €,in Nebenkosten enthalten,1.730 €,3 Nettokaltmieten,,90 m²,3,2,2,,True,2019,,Erstbezug,Fußbodenheizung,Fernwärme,,,,TRENDCITY GmbH Kurfürstendamm 67 10707 Berlin,"10707 Berlin, Wilmersdorf (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"WG-geeignet! Tolle Altbauwohnung mit geschliffenen Dielen, EBK und Wannenbad - Herrenhausstraße!",https://www.immobilienscout24.de/expose/115138627,"949,42 €",73 €,116 €,"1.138,42 €",3 Nettokaltmieten,,"84,77 m²",3,,1,,True,1928,,,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,95 kWh/(m²*a),"habitare Immobilien IVD, Immobilienmanagement & Standortberatung, Inhaber: Christian Kurtz Moselstraße 1-2 12159 Berlin","12487 Berlin, Johannisthal (Treptow) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"Erstbezug nach Sanierung, nur 150 Meter zum Spreeufer! Schöne Altbauwohnung mit Dielen - Bossestraße",https://www.immobilienscout24.de/expose/115138647,"1.049,88 €",97 €,97 €,"1.243,88 €",3 Monats-Nettokaltmieten,2,"77,14 m²",2,1,1,,True,1910,zuletzt 2019,Erstbezug nach Sanierung,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,"habitare Immobilien IVD, Immobilienmanagement & Standortberatung, Inhaber: Christian Kurtz Moselstraße 1-2 12159 Berlin","10245 Berlin, Friedrichshain (Friedrichshain) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"Erstbezug nach Sanierung: Bildschöne Altbauwohnung mit Balkon, Parkett, Dielen, Stuck + EBK",https://www.immobilienscout24.de/expose/115138699,1.799 €,182 €,169 €,2.150 €,3 Nettokaltmieten,4,"141,32 m²",4,3,2,,True,1905,zuletzt 2019,Erstbezug nach Sanierung,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,127 kWh/(m²*a),"habitare Immobilien IVD, Immobilienmanagement & Standortberatung, Inhaber: Christian Kurtz Moselstraße 1-2 12159 Berlin","10713 Berlin, Wilmersdorf (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Schöne Pärchenwohnung mit Balkon,https://www.immobilienscout24.de/expose/115142649,559 €,132 €,inkl. 65 €,691 €,"Kaution: 1.677,00 EUR",3,"54,79 m²",2,,,True,,1987,,Gepflegt,Fernwärme,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Quedlinburger straße 32, 12627 Berlin, Hellersdorf (Hellersdorf)"
"Geräumiges, helles Pärchenapartment mit Badewanne und Aufzug",https://www.immobilienscout24.de/expose/115142650,559 €,131 €,inkl. 66 €,690 €,"Kaution: 1.677,00 EUR",6,"56,02 m²",2,,,True,,1989,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Naumburger Ring 6, 12627 Berlin, Hellersdorf (Hellersdorf)"
Moderne Wohnung mit Einbauküche!,https://www.immobilienscout24.de/expose/115142743,976 €,226 €,in Nebenkosten enthalten,1.202 €,,2 von 6,"57,4 m²",2,,,True,,1969,,,Zentralheizung,Gas,,Verbrauchsausweis,,Berlinhaus Verwaltung GmbH Friedrichstraße 30 10969 Berlin,"Reinickendorfer Str. 1, 13347 Berlin, Wedding (Wedding)"
Geräumige 2 Zimmerwohnung am Theodor-Heuss Platz!,https://www.immobilienscout24.de/expose/115142761,"589,31 €",189 €,in Nebenkosten enthalten,"778,31 €",,0 von 0,"78,49 m²",2,,,True,,1976,,,Zentralheizung,Öl,,Verbrauchsausweis,,Berlinhaus Verwaltung GmbH Friedrichstraße 30 10969 Berlin,"Ahornallee 27, 14050 Berlin, Charlottenburg (Charlottenburg)"
Furnished apartment Am Lokdepot!!!,https://www.immobilienscout24.de/expose/115147800,1.799 €,450 €,in Nebenkosten enthalten,2.249 €,5397,3 von 5,115 m²,3,2,2,True,True,2016,,Gepflegt,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,Living in Berlin e.K. Hönower Straße 72 12623 Berlin,"Am Lokdepot 13, 10965 Berlin, Kreuzberg (Kreuzberg)"
Erstbezug nach kompletter Innensanierung,https://www.immobilienscout24.de/expose/115148125,690 €,100 €,nicht in Nebenkosten enthalten,790 € (zzgl. Heizkosten),"2.070,00 EUR",3 von 3,66 m²,2,1,1,,,1900,zuletzt 2020,Erstbezug nach Sanierung,Elektro-Heizung,Strom,liegt vor,Verbrauchsausweis,127 kWh/(m²*a),haufe immobilien Douglasstraße 5 14193 Berlin,"Köllnische Straße 64, 12439 Berlin, Niederschöneweide (Treptow)"
Wohnen im „Lindenhof“: Aparte 2-Zimmer-Wohnung mit Sonnen-Loggia und Freisitz,https://www.immobilienscout24.de/expose/115149547,690 €,179 €,in Nebenkosten enthalten,869 €,3 Kaltmieten,0 von 4,51 m²,2,1,1,True,True,1895,zuletzt 2019,Erstbezug nach Sanierung,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,Reinsperger Immobilien GmbH An der Alten Brauerei 1 14482 Potsdam,"Im Lindenhof 1, 10365 Berlin, Lichtenberg (Lichtenberg)"
Erstbezug: Helle 4 Zimmer plus Einbauküche in 7° (oberster) Etage mit TG in Wilmersdorf,https://www.immobilienscout24.de/expose/115157502,1.795 €,290 €,in Nebenkosten enthalten,2.085 €,"5.385,00",7 von 7,"96,83 m²",4,,1,True,True,2019,,Erstbezug,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,,"Uhlandstraße 103a, 10715 Berlin, Wilmersdorf (Wilmersdorf)"
"Neubauwohnung mit Garten und Stellplatz, behindertengerecht, in ruhiger Seitenstraße,",https://www.immobilienscout24.de/expose/115159146,1.450 €,200 €,in Nebenkosten enthalten,1.650 €,"4000,00",1 von 4,103 m²,3,2,2,,,2018,,Erstbezug,Wärmepumpe,Umweltwärme,liegt zur Besichtigung vor,,,Fa. Thomas C. Wöllmer - Liegenschaften - Berliner Straße 123 13467 Berlin-Hermsdorf,"13156 Berlin, Niederschönhausen (Pankow) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"1.100 €, 84 m², 3 Room(s)",https://www.immobilienscout24.de/expose/115159998,1.100 €,keine Angabe,nicht in Nebenkosten enthalten,1.340 € (zzgl. Nebenkosten & Heizkosten),,,84 m²,3,,,,,,,,,,,,,,"Fronhoferstraße 11, 12165 Berlin, Steglitz (Steglitz)"
modernisierte Altbauwohnung 2-Zimmer im EG,https://www.immobilienscout24.de/expose/115163080,699 €,150 €,inkl. 50 €,849 €,,0,"50,2 m²",2,,,,,1910,,,,,,Bedarfsausweis,,Helvetica Services GmbH Kantstr. 115 10627 Berlin,"Hermannstr. 63, 12049 Berlin, Neukölln (Neukölln)"
+YOU ARE READY TO BERLIN-NEW LIFESTYLE IN KREUZBERG+,https://www.immobilienscout24.de/expose/115165819,"1.156,44 €","217,49 €","160,69 €","1.534,62 €","3469,32",8 von 11,"93,01 m²",3,3,1,True,,1964,zuletzt 2019,Erstbezug,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,,Bärlin Housing GmbH 10711 Berlin,"Mehringdamm 128, 10965 Berlin, Kreuzberg (Kreuzberg)"
+LIVE&LIVESTYLE in BERLINs-EUROPE-CITY-SINGLE LIVING+,https://www.immobilienscout24.de/expose/115166746,675 €,"48,60 €",50 €,"773,60 €",2025,4 von 6,27 m²,1,1,1,True,True,2019,zuletzt 2019,Erstbezug,Fußbodenheizung,Fernwärme,liegt vor,Verbrauchsausweis,,Bärlin Housing GmbH 10711 Berlin,"Otto-Weidt-Platz 12, 10557 Berlin, Britz (Neukölln)"
3-Zimmer Dachgeschosswohnung mit Terrasse,https://www.immobilienscout24.de/expose/115163065,1.050 €,289 €,inkl. 103 €,1.339 €,"Kaution: 3.150,00 EUR",4,100 m²,3,,,,,1918,,Vollständig renoviert,,Gas,,Bedarfsausweis,,Helvetica Services GmbH Kantstr. 115 10627 Berlin,"Halskesteig 7, 13629 Berlin, Siemensstadt (Spandau)"
Pankepark - Townhouse mit Garten in Mitte,https://www.immobilienscout24.de/expose/115167135,3.499 €,300 €,in Nebenkosten enthalten,3.799 €,8.900,,"176,8 m²",5,4,2,,True,unbekannt,zuletzt 2014,,Zentralheizung,Gas,liegt vor,Bedarfsausweis,,ALEPA Real Estate GmbH Tauentzienstraße 6 10789 Berlin,"Am Panke Park 33, 10115 Berlin, Mitte (Mitte)"
"3 Zimmer, großes Wannenbad, Wintergarten, Einbauküche!",https://www.immobilienscout24.de/expose/115170817,"652,91 €","225,87 €","inkl. 70,58 €","878,78 €","Kaution: 1.958,00 EUR",3,"80,21 m²",3,,,,True,1997,,Gepflegt,Fernwärme,Fernwärme,,Verbrauchsausweis,,Deutsche Wohnen Gruppe,"Zum Kappgraben 16, 13125 Berlin, Karow (Weißensee)"
Schöne 2-Zimmer-Einliegerwohnung in Friedrichshagen,https://www.immobilienscout24.de/expose/115101631,600 €,150 €,in Nebenkosten enthalten,750 €,1800,2 von 2,60 m²,2,,1,,True,1993,,Vollständig renoviert,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,,"12587 Berlin, Friedrichshagen (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
charmante 2-Zimmer-Maisonette mit Balkon im Kultkiez,https://www.immobilienscout24.de/expose/115120220,"887,60 €","107,78 €","95,10 €","1.090,48 €",3 Nettokaltmieten,5 von 6,"63,4 m²",2,2,1,,,1910,,Gepflegt,Zentralheizung,Erdgas schwer,liegt vor,Verbrauchsausweis,,Mittelpunkt Immobilien Consult GmbH Scharnweberstr. 2 13405 Berlin,"Müggelstraße 13, 10247 Berlin, Friedrichshain (Friedrichshain)"
Mittendrin - Schöneberg Berlin,https://www.immobilienscout24.de/expose/115107325,1.700 €,350 €,in Nebenkosten enthalten,2.050 €,4000,3 von 5,112 m²,3,,1,True,True,,,,Gas-Heizung,,,,,,"Goltzstr 13 b, 10781 Berlin, Schöneberg (Schöneberg)"
Super große Familienwohnung mit Gäste-WC!,https://www.immobilienscout24.de/expose/115127206,899 €,253 €,inkl. 150 €,1.152 €,"Kaution: 2.697,00 EUR",2,"86,09 m²",4,,,,True,1996,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Henny-Porten-Str. 10, 12627 Berlin, Hellersdorf (Hellersdorf)"
"Ab Februar 2020! Familienwohnung mit Balkon, Aufzug und EBK!",https://www.immobilienscout24.de/expose/115127209,729 €,160 €,inkl. 90 €,889 €,"Kaution: 2.187,00 EUR",2,"67,35 m²",3,,,True,True,1984,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Randowstraße 2, 13057 Berlin, Neu-Hohenschönhausen (Hohenschönhausen)"
Große Familienwohnung mit Balkon und Aufzug!,https://www.immobilienscout24.de/expose/115127216,729 €,170 €,inkl. 85 €,899 €,"Kaution: 2.187,00 EUR",7,"71,2 m²",3,,,True,True,1984,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Wustrower Straße 15, 13051 Berlin, Neu-Hohenschönhausen (Hohenschönhausen)"
"Helle, große Familienwohnung in Tegel, mit großer Terrasse!",https://www.immobilienscout24.de/expose/115127236,879 €,220 €,inkl. 75 €,1.079 €,"Kaution: 2.577,00",0,"72,22 m²",3,,,,,1995,,Modernisiert,Zentralheizung,Gas,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Bernauer Straße 98, 13507 Berlin, Tegel (Reinickendorf)"
"Sehr besonders und chic: 3-Zi. Dachterr.-Traumwhg.! Sonnig, Eichendielen, Fußbodenhzg.- fast fertig!",https://www.immobilienscout24.de/expose/115133044,2.199 €,200 €,150 €,2.549 €,3 NKM,6 von 6,"143,13 m²",3,1,1,True,,1900,zuletzt 2019,Erstbezug,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,"98,6 kWh/(m²*a)",REALINVEST IMMOBILIEN GMBH Kurfürstendamm 194 10707 Berlin,"Wilhelmshavener Str. 32, 10551 Berlin, Tiergarten (Tiergarten)"
2 Zimmer Altbau mit EBK und Dielen in Pankow-Rosenthal,https://www.immobilienscout24.de/expose/115134669,"813,05 €",145 €,in Nebenkosten enthalten,"958,05 €","2439,15",0 von 4,69 m²,2,1,1,,True,1910,,,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,Apart Berlin GmbH Kurfürstendamm 219 10719 Berlin,"Heegermühler Weg 33, 13158 Berlin, Niederschönhausen (Pankow)"
"Happy live on 66.60 square meters! Daylight bathroom, balcony + fitted kitchen",https://www.immobilienscout24.de/expose/115136497,"1.158,84 €","133,20 €","66,60 €","1.358,64 €",2318,2 von 5,"66,6 m²",2,1,2,True,True,2019,zuletzt 2019,Erstbezug,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,ADLER Wohnen Service GmbH Gänsemarkt 50 20354 Hamburg,"Heidestraße 19, 10557 Berlin, Tiergarten (Tiergarten)"
Möblierte 2 Zimmer Wohnung mit Balkon in zentraler Neuköllner Lage,https://www.immobilienscout24.de/expose/115130815,829 €,140 €,30 €,999 €,3 Nettokaltmieten,2 von 4,"69,1 m²",2,1,1,,True,1904,,Gepflegt,Zentralheizung,Erdgas leicht,,,,IMMOBILIEN ROLAND GmbH Spandauer Damm 113 14059 Berlin,"Schöneweider Straße 10, 12055 Berlin - Neukölln, Neukölln (Neukölln)"
"Großzügige 2-Zi., 2 Dachterr.-Traumwhg.-sehr chic! Sonnig, Eichendielen, Fußbodenhzg. - fast fertig!",https://www.immobilienscout24.de/expose/115135467,1.599 €,135 €,100 €,1.834 €,3 NKM,6 von 6,"100,93 m²",2,1,1,True,,1900,zuletzt 2019,Erstbezug,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,"98,6 kWh/(m²*a)",REALINVEST IMMOBILIEN GMBH Kurfürstendamm 194 10707 Berlin,"Wilhelmshavener Str. 32, 10551 Berlin, Tiergarten (Tiergarten)"
"Glücklich wohnen auf 66,60qm! Tageslichtbad, Balkon + EBK",https://www.immobilienscout24.de/expose/115136499,"1.158,84 €","133,20 €","66,60 €","1.358,64 €",2318,2 von 5,"66,6 m²",2,1,2,True,True,2019,zuletzt 2019,Erstbezug,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,ADLER Wohnen Service GmbH Gänsemarkt 50 20354 Hamburg,"Heidestraße 19, 10557 Berlin, Tiergarten (Tiergarten)"
Zum Erstbezug! 2 Zi.- Whg. mit Balkon + EBK,https://www.immobilienscout24.de/expose/115136581,"1.157,11 €","132,62 €","66,31 €","1.356,04 €",2315,2 von 5,"66,31 m²",2,1,2,True,True,2019,zuletzt 2019,Erstbezug,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,ADLER Wohnen Service GmbH Gänsemarkt 50 20354 Hamburg,"Heidestraße 19, 10557 Berlin, Tiergarten (Tiergarten)"
For first-time occupation! 2 room apartments with balcony + Fitted kitchen,https://www.immobilienscout24.de/expose/115136583,"1.157,11 €","132,62 €","66,31 €","1.356,04 €",2315,2 von 5,"66,31 m²",2,1,2,True,True,2019,zuletzt 2019,Erstbezug,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,ADLER Wohnen Service GmbH Gänsemarkt 50 20354 Hamburg,"Heidestraße 19, 10557 Berlin, Tiergarten (Tiergarten)"
"Traumhaft wohnen zum Erstbezug, mit Balkon und EBK",https://www.immobilienscout24.de/expose/115136737,"1.133,65 €","129,56 €","64,78 €","1.327,99 €",2268,2 von 5,"64,78 m²",2,1,1,True,True,2019,zuletzt 2019,Erstbezug,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,ADLER Wohnen Service GmbH Gänsemarkt 50 20354 Hamburg,"Heidestraße 19, 10557 Berlin, Tiergarten (Tiergarten)"
"Dreamlike living for first-time occupation, with balcony and fitted kitchen",https://www.immobilienscout24.de/expose/115136738,"1.133,65 €","129,56 €","64,78 €","1.327,99 €",2268,2 von 5,"64,78 m²",2,1,1,True,True,2019,zuletzt 2019,Erstbezug,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,ADLER Wohnen Service GmbH Gänsemarkt 50 20354 Hamburg,"Heidestraße 19, 10557 Berlin, Tiergarten (Tiergarten)"
"Freude auf 66,66qm! mit Balkon, EBK zum Erstbezug",https://www.immobilienscout24.de/expose/115136875,"1.159,88 €","133,32 €","66,66 €","1.359,86 €",2320,2 von 5,"66,66 m²",2,1,1,True,True,2019,zuletzt 2019,Erstbezug,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,ADLER Wohnen Service GmbH Gänsemarkt 50 20354 Hamburg,"Heidestraße 19, 10557 Berlin, Tiergarten (Tiergarten)"
Wundervoller Dachgeschoss-Erstbezug zwischen Bergmannkiez und Tempelhofer Feld!,https://www.immobilienscout24.de/expose/115138122,"2.928,24 €","201,72 €","162,68 €","3.292,64 €","8.784,72 EUR",5 von 5,"162,68 m²",4,3,2,True,,2019,,Erstbezug,Öl-Heizung,Öl,liegt vor,Verbrauchsausweis,168 kWh/(m²*a),GEKIS Verwaltungsgesellschaft mbH Fasanenstraße 35 10719 Berlin,"Heimstraße 12, 10965 Berlin, Kreuzberg (Kreuzberg)"
Provisionsfrei! Charmante 2-Zi-Dachgeschoss Wohnung in Treptow,https://www.immobilienscout24.de/expose/114991381,870 €,165 €,120 €,1.155 €,3 Monatsmieten,4 von 4,"91,48 m²",2,1,1,,True,,,Vollständig renoviert,Zentralheizung,,,,,Müller-Spreer AG,"Behringstrasse 2, 12437 Berlin, Baumschulenweg (Treptow)"
Wohnen auf höchstem Niveau - Erstbezug in eine hochwertig sanierte 3-Zi Stuck-Altbau-Whg mit Balkon,https://www.immobilienscout24.de/expose/115098525,1.500 €,400 €,in Nebenkosten enthalten,1.900 €,"4.500,- €",4 von 5,105 m²,3,3,2,True,True,1908,zuletzt 2020,Erstbezug nach Sanierung,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,,IMMODO GmbH Ballenstetder Straße 16a 10709 Berlin,"12167 berlin, Steglitz (Steglitz) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"Joy on 66.66sqm! with balcony, fitted kitchen and first-time occupation",https://www.immobilienscout24.de/expose/115136879,"1.159,88 €","133,32 €","66,66 €","1.359,86 €",2320,2 von 5,"66,66 m²",2,1,1,True,True,2019,zuletzt 2019,Erstbezug,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,ADLER Wohnen Service GmbH Gänsemarkt 50 20354 Hamburg,"Heidestraße 19, 10557 Berlin, Tiergarten (Tiergarten)"
"Top-sanierte, familiengeeignete 5-Zi-Wohnung mit Parkett und neuen Bädern",https://www.immobilienscout24.de/expose/114993814,2.000 €,280 €,nicht in Nebenkosten enthalten,2.280 € (zzgl. Heizkosten),3 NKM,1 von 2,146 m²,5,3,2,,,1900,zuletzt 2019,Erstbezug nach Sanierung,Etagenheizung,Gas,liegt vor,Verbrauchsausweis,,Signus Immobilien GmbH Katharinenstr. 12 10711 Berlin,"Berliner Str. 65, 10713 Berlin, Wilmersdorf (Wilmersdorf)"
"ERSTBEZUG, NEUBAU 2019, TERRASSE, Charlottenburg!!!",https://www.immobilienscout24.de/expose/114995952,1.550 €,250 €,in Nebenkosten enthalten,1.800 €,3 Nettokaltmieten,3,85 m²,2,1,1,True,True,2019,zuletzt 2019,Erstbezug,Fußbodenheizung,,,,,"Kleinecke, Erste Mitwohnzentrale e. K. Sybelstr. 52-53 10629 Berlin","14059 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"4 Zimmer +Balkon +Badewanne +Wohnküche, ab 15.01.2020; Friedenau/Schöneberg",https://www.immobilienscout24.de/expose/114996742,1.600 €,200 €,130 €,1.930 €,4800,4 von 3,128 m²,4,3,2,,,2012,zuletzt 2012,Modernisiert,Fernwärme,Fernwärme,,,,Renate Nikolay Immobilien u. Finanzdienstleistungen,"Cranachstr. 50, 12157 Berlin, Schöneberg (Schöneberg)"
Vollmöblierte Wohnung am Lokdepot!,https://www.immobilienscout24.de/expose/115025698,1.799 €,450 €,in Nebenkosten enthalten,2.249 €,5397,3 von 5,115 m²,3,2,2,True,True,2016,,Gepflegt,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,Living in Berlin e.K. Hönower Straße 72 12623 Berlin,"Am Lokdepot 13, 10965 Berlin, Kreuzberg (Kreuzberg)"
Schönes Reihenendhaus in Rosenthal (Pankow) mit Garten und Terrasse,https://www.immobilienscout24.de/expose/115045683,1.475 €,133 €,nicht in Nebenkosten enthalten,1.608 € (zzgl. Heizkosten),3 NKM,0 von 2,113 m²,"5,5",3,2,,True,2020,zuletzt 2020,Erstbezug,Fußbodenheizung,Umweltwärme,liegt vor,Bedarfsausweis,,,"Hauptstr. 169 K-N, 13158 Berlin, Rosenthal (Pankow)"
Bezugsfrei! 2-Zimmer-Neubau-Wohnung mit Süd-Balkon in Köpenick,https://www.immobilienscout24.de/expose/115072589,"726,63 €","121,17 €","inkl. 49,57 €","847,80 €","2.179,89",2 von 5,"55,2 m²",2,2,1,True,,2015,,Neuwertig,Fernwärme,Nahwärme,liegt vor,Bedarfsausweis,,DICK Immobilienmanagement e.K. EUREF-Campus 13 10829 Berlin,"Adlershofer Straße 1, 12557 Berlin, Köpenick (Köpenick)"
Hell und top ausgestattet - nur einen Katzensprung zum Ku'damm,https://www.immobilienscout24.de/expose/115073140,2.300 €,350 €,in Nebenkosten enthalten,2.650 €,"6900,00 EUR",4 von 6,123 m²,3,2,2,True,True,2010,,Neuwertig,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,haufe immobilien Douglasstraße 5 14193 Berlin,"Dahlmannstr. 8, 10629 Berlin, Charlottenburg (Charlottenburg)"
